MOVIEID,COUNTRY
957,USA
1348,DEU
2010,DEU
2224,GBR
2225,GBR
2226,GBR
2227,GBR
2229,DEU
2229,GBR
2777,USA
2821,USA
2823,DEU
2957,USA
3012,USA
3022,USA
3023,USA
3132,USA
3133,USA
3140,USA
3195,USA
3231,USA
63280,USA
88595,USA
100054,USA
103424,USA
107632,DEU
150964,USA
167812,USA
177671,FRA
86664,DNK
976,USA
1260,DEU
1925,USA
1926,USA
1927,USA
1928,USA
1929,USA
2214,GBR
2215,GBR
2216,GBR
2217,GBR
2218,GBR
2219,GBR
2220,GBR
2221,GBR
2222,GBR
2223,GBR
2633,USA
2644,USA
2648,USA
2904,USA
3151,USA
7221,USA
45170,USA
47927,USA
60896,USA
66857,FRA
67140,USA
84125,USA
84641,USA
87966,USA
115084,USA
125203,USA
125405,USA
146564,GBR
160255,USA
160374,USA
160806,USA
161272,USA
204052,GBR
154604,JPN
132731,USA
894,DEU
905,USA
907,USA
950,USA
959,USA
965,GBR
1160,USA
1256,USA
1340,USA
1930,USA
1931,USA
2212,GBR
2213,GBR
2366,USA
3086,USA
3139,USA
87262,USA
105589,USA
594,USA
115801,USA
121067,USA
121630,USA
121929,USA
125503,USA
133927,USA
151040,FRA
160386,USA
161534,USA
163326,USA
166342,USA
108360,USA
1158,USA
1159,USA
940,USA
944,USA
945,USA
947,USA
955,USA
961,USA
974,USA
975,USA
977,USA
1066,USA
1067,USA
1099,USA
1932,USA
1933,USA
2209,GBR
2210,GBR
2211,GBR
3134,FRA
3217,USA
6397,FRA
7055,USA
25822,USA
66861,FRA
72212,USA
74382,USA
91727,USA
96813,USA
123316,USA
124001,USA
132713,USA
134732,USA
155469,USA
156334,USA
162524,USA
596,USA
749,USA
898,USA
917,USA
919,USA
920,USA
927,USA
928,USA
929,USA
936,USA
941,USA
951,USA
954,USA
962,USA
1281,USA
1282,USA
1934,USA
2207,GBR
2208,GBR
2637,USA
2649,USA
2847,USA
2899,USA
3058,USA
3059,USA
3095,USA
3097,USA
3122,USA
3170,USA
7311,GBR
7311,USA
7840,USA
8384,USA
47665,USA
77496,GBR
77496,USA
82584,USA
88833,USA
912,USA
2018,USA
923,USA
897,USA
913,USA
946,USA
956,USA
973,USA
1029,USA
1156,ITA
1935,USA
1936,USA
2204,USA
2205,USA
2206,USA
2638,USA
2650,USA
2651,USA
2654,USA
2935,USA
2936,USA
2937,USA
3061,USA
4920,USA
25890,USA
64921,USA
68921,USA
69354,GBR
77481,USA
83791,USA
116925,USA
124801,USA
125551,USA
130185,USA
142648,USA
144818,USA
155477,USA
156435,USA
158443,USA
161222,USA
165989,USA
180679,USA
152391,GBR
906,USA
918,USA
931,USA
942,USA
958,USA
960,USA
966,USA
967,USA
1024,USA
1069,USA
1269,USA
1284,USA
1337,USA
1937,USA
1938,USA
1939,USA
2202,USA
2203,USA
2612,USA
2635,USA
2636,USA
2646,USA
2647,USA
2653,USA
2920,FRA
2927,GBR
2940,USA
3154,USA
25918,USA
67931,JPN
92726,MEX
92726,USA
93037,USA
953,USA
109919,USA
116114,USA
120612,USA
121426,USA
122635,USA
124003,USA
148604,USA
156479,USA
156487,USA
166136,USA
194640,USA
171973,USA
94350,USA
198081,USA
746,USA
925,USA
930,USA
943,USA
964,USA
1068,USA
1152,USA
1153,USA
1154,USA
1157,FRA
1254,USA
1940,USA
1941,GBR
1942,USA
2066,USA
2099,USA
2176,USA
2201,USA
2398,USA
3089,ITA
3209,USA
7826,USA
32875,FRA
900,USA
49464,USA
72878,JPN
80348,USA
86204,GBR
109701,USA
121089,USA
123828,GBR
144046,USA
154307,USA
156489,USA
180855,ITA
155308,FRA
205851,DEU
205851,ESP
117960,GBR
107976,USA
755,USA
922,USA
926,USA
934,USA
963,USA
969,GBR
969,USA
1022,USA
1026,USA
1032,USA
1065,GBR
1212,GBR
1212,USA
1253,USA
1368,ITA
2187,GBR
2200,GBR
2430,USA
2658,USA
3088,USA
40436,USA
62514,USA
66983,GBR
86310,GBR
86310,USA
92611,USA
121093,USA
123717,USA
128283,FRA
128654,USA
128658,USA
132470,GBR
141185,USA
149973,USA
162500,USA
180617,USA
899,USA
184027,FRA
184027,ESP
857,CHN
935,USA
1070,USA
1104,USA
1226,USA
1283,USA
1943,USA
1944,USA
2087,USA
2185,USA
2186,USA
2362,USA
2660,USA
2661,USA
2848,ITA
2848,USA
2939,USA
3121,USA
3207,USA
3229,GBR
42553,GBR
42553,USA
64550,USA
88816,USA
104054,USA
119605,GBR
119623,USA
119778,USA
127331,USA
144802,USA
2080,USA
904,USA
1103,USA
148008,USA
157693,USA
157711,USA
174513,USA
157903,USA
146854,ITA
136401,ITA
185265,GBR
197313,JPN
668,IND
915,USA
916,USA
933,USA
949,USA
952,USA
970,ITA
970,GBR
972,USA
982,USA
1008,USA
1019,USA
1086,USA
1945,USA
1946,USA
2019,JPN
2184,USA
2287,USA
2363,JPN
2656,USA
2662,USA
2663,JPN
2663,USA
2727,USA
3035,USA
3126,GBR
3126,USA
3172,FRA
3172,ITA
3172,USA
3196,USA
5602,GBR
69195,USA
82227,USA
1237,SWE
85014,USA
104153,USA
121751,GBR
123182,USA
132302,USA
140589,USA
151064,FRA
151064,DEU
153682,USA
163088,USA
136186,FRA
136186,ITA
135314,ITA
145976,USA
820,FRA
820,MEX
901,USA
932,USA
937,USA
948,USA
1012,USA
1178,USA
1203,USA
1250,GBR
1250,USA
1301,USA
2182,USA
2183,USA
2351,FRA
2351,ITA
2565,USA
2652,GBR
2664,USA
2665,USA
2666,USA
2667,USA
2726,USA
2874,USA
2967,USA
3038,USA
3096,USA
3136,USA
3153,USA
3199,USA
6656,USA
48407,USA
70712,GBR
70712,USA
71302,USA
85476,USA
108257,FRA
108257,ITA
123927,FRA
125157,GBR
129753,USA
131400,USA
132184,MEX
143331,USA
144930,MEX
149218,ITA
149240,ITA
903,USA
910,USA
123561,USA
670,IND
841,FRA
841,ITA
854,JPN
908,USA
909,USA
938,USA
939,USA
971,USA
1016,USA
1085,USA
1248,USA
1287,USA
1334,USA
1386,USA
1924,USA
2043,USA
2079,GBR
2079,USA
2096,USA
2454,USA
2519,USA
2634,GBR
2669,USA
2670,USA
2731,FRA
2781,USA
2814,USA
2941,USA
3171,GBR
3405,GBR
7088,BRA
7088,FRA
7088,ITA
8195,FRA
8195,ITA
51911,USA
53226,FRA
53226,ITA
54176,USA
62153,GBR
64944,USA
66620,USA
113808,GBR
123411,GBR
123411,USA
132508,GBR
1204,GBR
1204,USA
902,USA
2729,GBR
2729,USA
1219,USA
143757,FRA
143757,ITA
154536,DEU
